t: 7.0875
nCells: 20x20, dx: 0.05, dy: 0.05

u (21x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|        0     1.88      1.8     1.74     1.69     1.65     1.62     1.59     1.56     1.54     1.52      1.5     1.48     1.46     1.44     1.44     1.43     1.44     1.47     1.62        0
       20|        0    0.119    0.201    0.261    0.308    0.348    0.382    0.411    0.438    0.462    0.485    0.505    0.524     0.54    0.555    0.565    0.573    0.562    0.526     0.38        0
       19|        0  -0.0873  -0.0789   -0.053  -0.0273 -0.00276   0.0205   0.0432    0.065   0.0867    0.107    0.128    0.146    0.164    0.177    0.188    0.193    0.194    0.184    0.114        0
       18|        0  0.00867 -0.00673  -0.0144  -0.0134 -0.00763  0.00106    0.012   0.0245   0.0387   0.0535   0.0688   0.0822   0.0933   0.0978   0.0971   0.0879   0.0806   0.0604   0.0189        0
       17|        0 -0.00618  -0.0131  -0.0124 -0.00779 -0.00121  0.00699   0.0169   0.0285   0.0419   0.0568   0.0723   0.0864   0.0965   0.0982   0.0898   0.0709   0.0485   0.0151  -0.0152        0
       16|        0 -0.00158 -0.00399 -0.00497 -0.00324  0.00108   0.0077   0.0166   0.0278   0.0415   0.0576   0.0753   0.0921    0.104    0.105   0.0924   0.0681   0.0362 -0.00284  -0.0272        0
       15|        0-0.000788 -0.00228 -0.00279 -0.00157  0.00158  0.00682   0.0144   0.0248   0.0385   0.0557   0.0756    0.095    0.108    0.107   0.0913   0.0633   0.0274  -0.0118  -0.0318        0
       14|        0-0.000208 -0.00121 -0.00206  -0.0019-0.000198  0.00341  0.00936   0.0183   0.0311   0.0484   0.0691   0.0892    0.101   0.0974   0.0791   0.0499   0.0138  -0.0222   -0.036        0
       13|        0-0.000168 -0.00144   -0.003 -0.00402 -0.00394 -0.00236  0.00124   0.0076   0.0178   0.0325   0.0507   0.0673   0.0746   0.0681   0.0497    0.024 -0.00675  -0.0365  -0.0422        0
       12|        0-0.000467 -0.00241   -0.005 -0.00745 -0.00928  -0.0102 -0.00975 -0.00746 -0.00243  0.00597   0.0166   0.0252    0.026   0.0169  0.00115  -0.0175  -0.0396  -0.0597  -0.0535        0
       11|        0   -0.001 -0.00389  -0.0077  -0.0117  -0.0156  -0.0193  -0.0227  -0.0257  -0.0282  -0.0299   -0.031  -0.0332  -0.0385  -0.0477  -0.0581  -0.0683  -0.0808  -0.0889  -0.0674        0
       10|        0 -0.00167 -0.00562  -0.0107  -0.0163  -0.0222  -0.0286  -0.0358  -0.0446  -0.0554  -0.0686   -0.083  -0.0963   -0.107   -0.113   -0.117    -0.12   -0.125   -0.121   -0.083        0
        9|        0 -0.00237 -0.00739  -0.0137  -0.0207  -0.0283   -0.037  -0.0473  -0.0604  -0.0779   -0.101   -0.127   -0.151   -0.168   -0.174   -0.175   -0.173   -0.167   -0.145  -0.0854        0
        8|        0 -0.00304   -0.009  -0.0163  -0.0244  -0.0334  -0.0435  -0.0556  -0.0708  -0.0909   -0.118    -0.15   -0.183   -0.207   -0.216   -0.214   -0.204   -0.181   -0.134  -0.0563        0
        7|        0  -0.0036  -0.0103  -0.0184  -0.0273   -0.037  -0.0478  -0.0604  -0.0755  -0.0946   -0.119   -0.149   -0.182   -0.209    -0.22   -0.214   -0.194   -0.154  -0.0927  -0.0199        0
        6|        0 -0.00401  -0.0112  -0.0198  -0.0291  -0.0392  -0.0501  -0.0623  -0.0761  -0.0922   -0.111   -0.133   -0.156   -0.176   -0.184   -0.175   -0.148   -0.104  -0.0484 -0.00322        0
        5|        0  -0.0042  -0.0116  -0.0203  -0.0297  -0.0397  -0.0503  -0.0617  -0.0738  -0.0867     -0.1   -0.114   -0.126   -0.133   -0.132   -0.119  -0.0923  -0.0558  -0.0182  0.00116        0
        4|        0 -0.00411  -0.0113  -0.0197  -0.0288  -0.0383  -0.0483  -0.0587  -0.0693  -0.0796  -0.0891  -0.0966   -0.101  -0.0999  -0.0916  -0.0748  -0.0509  -0.0248 -0.00439  0.00223        0
        3|        0 -0.00363    -0.01  -0.0176  -0.0257  -0.0342  -0.0431  -0.0523  -0.0615  -0.0701  -0.0772  -0.0818  -0.0825  -0.0778  -0.0671  -0.0506  -0.0308  -0.0126 -0.00102  0.00185        0
        2|        0 -0.00259 -0.00741  -0.0132  -0.0194   -0.026  -0.0329  -0.0402  -0.0475  -0.0544  -0.0602  -0.0638  -0.0639  -0.0595  -0.0501  -0.0365  -0.0214 -0.00827 -0.00046  0.00145        0
        1|        0-0.000885 -0.00303 -0.00566 -0.00851  -0.0115  -0.0148  -0.0183   -0.022  -0.0258  -0.0292  -0.0317  -0.0324  -0.0305  -0.0256  -0.0181 -0.00964 -0.00256  0.00127  0.00157        0
        0|        0 0.000885  0.00303  0.00566  0.00851   0.0115   0.0148   0.0183    0.022   0.0258   0.0292   0.0317   0.0324   0.0305   0.0256   0.0181  0.00964  0.00256 -0.00127 -0.00157        0

v (22x21): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
