t: 9.3875
nCells: 20x20, dx: 0.05, dy: 0.05

u (21x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|        0     1.88      1.8     1.74     1.69     1.65     1.62     1.59     1.56     1.53     1.51     1.49     1.47     1.45     1.44     1.43     1.42     1.44     1.47     1.62        0
       20|        0    0.118    0.199    0.259    0.307    0.348    0.383    0.414    0.443    0.468    0.491    0.512    0.531    0.546    0.561    0.569    0.576    0.564    0.527     0.38        0
       19|        0  -0.0877  -0.0776  -0.0488  -0.0195  0.00862   0.0354   0.0613   0.0859     0.11    0.131    0.151    0.167    0.181    0.189    0.197      0.2    0.198    0.187    0.115        0
       18|        0  0.00888 -0.00398 -0.00695-0.000272   0.0113   0.0255   0.0413   0.0578   0.0744   0.0894    0.102     0.11    0.112    0.108    0.101   0.0894   0.0821    0.062   0.0198        0
       17|        0 -0.00471  -0.0085 -0.00378  0.00567   0.0178   0.0318   0.0474   0.0642   0.0813    0.097    0.109    0.115    0.114    0.104   0.0873    0.066   0.0459   0.0148  -0.0151        0
       16|        0  0.00037  0.00177  0.00523   0.0117   0.0213   0.0338    0.049   0.0664    0.085    0.103    0.116    0.123    0.119    0.106   0.0849   0.0589   0.0304 -0.00482  -0.0279        0
       15|        0  0.00135  0.00365  0.00743   0.0133   0.0218   0.0334   0.0483   0.0665   0.0868    0.106    0.121    0.126     0.12    0.104   0.0803   0.0516   0.0194  -0.0156  -0.0331        0
       14|        0  0.00207  0.00472  0.00772   0.0121   0.0188    0.029   0.0432   0.0615   0.0823    0.102    0.115    0.119    0.111    0.093   0.0683   0.0398  0.00799  -0.0244  -0.0364        0
       13|        0  0.00197  0.00372  0.00518  0.00755   0.0121     0.02   0.0322   0.0487   0.0674   0.0841   0.0936   0.0935   0.0842   0.0673    0.045     0.02 -0.00845   -0.036  -0.0411        0
       12|        0  0.00128  0.00139 0.000633 0.000333  0.00178   0.0061   0.0141   0.0258   0.0388   0.0489   0.0524   0.0487   0.0396   0.0264   0.0103 -0.00802  -0.0306  -0.0516  -0.0481        0
       11|        0 8.12e-05 -0.00203 -0.00549 -0.00899  -0.0115  -0.0123  -0.0106 -0.00677 -0.00248-0.000643 -0.00322 -0.00935  -0.0166  -0.0239  -0.0318  -0.0427  -0.0593  -0.0729  -0.0584        0
       10|        0 -0.00144 -0.00603  -0.0124  -0.0193  -0.0263  -0.0331  -0.0393  -0.0449  -0.0501  -0.0557  -0.0622  -0.0687  -0.0731  -0.0749  -0.0763  -0.0818  -0.0928  -0.0971  -0.0694        0
        9|        0 -0.00308  -0.0101  -0.0192  -0.0294  -0.0406  -0.0533  -0.0674  -0.0823  -0.0964   -0.108   -0.116   -0.121   -0.122    -0.12   -0.118   -0.121   -0.127   -0.121  -0.0784        0
        8|        0 -0.00459  -0.0137   -0.025  -0.0377  -0.0523  -0.0694  -0.0898   -0.113   -0.135   -0.153   -0.163   -0.167   -0.166   -0.163   -0.162   -0.162   -0.158   -0.132  -0.0707        0
        7|        0 -0.00577  -0.0164  -0.0291  -0.0435  -0.0598  -0.0792   -0.103   -0.131    -0.16   -0.185     -0.2   -0.207   -0.207   -0.204   -0.199   -0.189   -0.166   -0.115  -0.0384        0
        6|        0 -0.00646  -0.0178  -0.0313  -0.0462  -0.0629  -0.0821   -0.105   -0.133   -0.164   -0.194   -0.216   -0.226   -0.228   -0.222   -0.209   -0.184   -0.142   -0.078 -0.00971        0
        5|        0 -0.00657  -0.0179  -0.0312  -0.0458  -0.0618  -0.0795  -0.0997   -0.123    -0.15   -0.177     -0.2   -0.212   -0.213   -0.203   -0.182   -0.147  -0.0971  -0.0395-0.000426        0
        4|        0   -0.006  -0.0164  -0.0286   -0.042  -0.0566  -0.0725  -0.0895   -0.108   -0.127   -0.146   -0.162   -0.171   -0.169   -0.156   -0.131  -0.0945  -0.0517  -0.0135  0.00173        0
        3|        0 -0.00474  -0.0132  -0.0233  -0.0344  -0.0468  -0.0603  -0.0746  -0.0891   -0.103   -0.114   -0.122   -0.124   -0.118   -0.103  -0.0784  -0.0484  -0.0191 -0.00013  0.00325        0
        2|        0 -0.00282 -0.00839  -0.0152  -0.0229  -0.0315  -0.0413  -0.0522  -0.0635  -0.0742  -0.0825  -0.0867  -0.0851  -0.0766  -0.0612  -0.0407  -0.0189 -0.00172  0.00575  0.00408        0
        1|        0 -0.00056 -0.00251 -0.00505 -0.00791  -0.0112  -0.0152    -0.02  -0.0256  -0.0316  -0.0371  -0.0407  -0.0407  -0.0361  -0.0268  -0.0147 -0.00298  0.00457  0.00605  0.00314        0
        0|        0  0.00056  0.00251  0.00505  0.00791   0.0112   0.0152     0.02   0.0256   0.0316   0.0371   0.0407   0.0407   0.0361   0.0268   0.0147  0.00298 -0.00457 -0.00605 -0.00314        0

v (22x21): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
       19|   -0.118    0.118   0.0808   0.0598   0.0481   0.0405   0.0354   0.0311   0.0284   0.0252   0.0237   0.0202   0.0193   0.0148   0.0147  0.00802  0.00715  -0.0114  -0.0373   -0.147    -0.38     0.38
